# ell, 100x100, 100x143, 100x217, 143x143, 143x217, 217x217
   2 4114.012700 1492.172710 695.938790 2175.983407 680.787087 1047.804420
   3 2986.479296 1134.148917 543.344928 1597.007892 532.379794 787.491940
   4 2425.083598 951.474345 464.591187 1306.922519 455.740477 655.400978
   5 2082.541142 838.006038 415.273734 1129.106778 407.726991 573.678649
   6 1848.459305 759.341912 380.859541 1007.141805 374.211523 517.204476
   7 1676.550522 700.860305 355.131683 917.288886 349.148374 475.334284
   8 1543.872943 655.237626 334.961310 847.750118 329.494107 442.749112
   9 1437.695778 618.374517 318.590365 791.963798 313.538326 416.477352
  10 1350.353149 587.784085 304.948900 745.971030 300.239924 394.719181
  11 1276.934227 561.862677 293.345053 707.231293 288.925596 376.315652
  12 1214.136577 539.525435 283.309623 674.033447 279.138675 360.483754
  13 1159.650808 520.009575 274.511962 645.179169 270.557307 346.673582
  14 1111.809176 502.761456 266.711576 619.801918 262.947375 334.486443
  15 1069.374448 487.368407 259.728858 597.258041 256.134015 323.625461
  16 1031.407547 473.515805 253.426621 577.058421 249.983652 313.864517
  17 997.181565 460.959083 247.698034 558.824026 244.392259 305.027998
  18 966.124143 449.504894 242.458499 542.256096 239.277454 296.977194
  19 937.777823 438.998112 237.640031 527.115606 234.573025 289.600907
  20 911.772119 429.312637 233.187279 513.208787 230.225060 282.808820
  21 887.803432 420.344772 229.054656 500.376706 226.189156 276.526716
  22 865.620344 412.008346 225.204224 488.487630 222.428356 270.692972
  23 845.012663 404.231083 221.604117 477.431332 218.911617 265.255936
  24 825.803151 396.951841 218.227339 467.114788 215.612638 260.171944
  25 807.841185 390.118499 215.050847 457.458882 212.508968 255.403802
  26 790.997844 383.686315 212.054833 448.395843 209.581305 250.919600
  27 775.162062 377.616627 209.222159 439.867242 206.812949 246.691783
  28 760.237573 371.875832 206.537910 431.822400 204.189367 242.696419
  29 746.140479 366.434564 203.989036 424.217119 201.697838 238.912603
  30 732.797283 361.267026 201.564057 417.012650 199.327175 235.321985
  31 720.143291 356.350455 199.252833 410.174864 197.067494 231.908379
  32 708.121303 351.664669 197.046364 403.673568 194.910022 228.657446
  33 696.680539 347.191711 194.936629 397.481938 192.846940 225.556432
  34 685.775739 342.915532 192.916455 391.576050 190.871255 222.593948
  35 675.366418 338.821746 190.979403 385.934495 188.976690 219.759788
  36 665.416238 334.897409 189.119674 380.538041 187.157591 217.044773
  37 655.892480 331.130839 187.332027 375.369366 185.408848 214.440626
  38 646.765590 327.511462 185.611716 370.412810 183.725832 211.939858
  39 638.008803 324.029678 183.954425 365.654187 182.104335 209.535671
  40 629.597807 320.676751 182.356224 361.080602 180.540525 207.221885
  41 621.510467 317.444709 180.813522 356.680309 179.030898 204.992862
  42 613.726578 314.326260 179.323032 352.442580 177.572250 202.843446
  43 606.227656 311.314721 177.881737 348.357596 176.161638 200.768916
  44 598.996754 308.403950 176.486863 344.416351 174.796356 198.764933
  45 592.018301 305.588295 175.135855 340.610564 173.473910 196.827508
  46 585.277960 302.862541 173.826351 336.932609 172.191999 194.952961
  47 578.762510 300.221869 172.556170 333.375449 170.948493 193.137893
  48 572.459733 297.661819 171.323289 329.932578 169.741419 191.379159
  49 566.358319 295.178254 170.125829 326.597970 168.568944 189.673844
  50 560.447783 292.767331 168.962046 323.366037 167.429366 188.019241
  51 554.718385 290.425475 167.830315 320.231587 166.321099 186.412833
  52 549.161070 288.149357 166.729119 317.189787 165.242665 184.852275
