# ell, 100x100, 100x143, 100x217, 143x143, 143x217, 217x217
   2 10733.815851 3127.875183 2347.223955 7264.724977 2276.197310 3403.939174
   3 7772.799135 2413.207056 1792.230777 5229.295647 1741.754634 2511.236249
   4 6300.645792 2046.111436 1508.452824 4220.914875 1468.216368 2062.670228
   5 5403.345778 1816.993420 1331.913743 3607.894240 1297.927590 1787.127769
   6 4790.685585 1657.538994 1209.373460 3190.214694 1179.658848 1597.809062
   7 4341.076172 1538.603868 1118.176821 2884.240334 1091.598589 1458.133985
   8 3994.291403 1445.549297 1046.966273 2648.608478 1022.807661 1349.899899
   9 3716.928412 1370.162728 989.379845 2460.408126 967.156426 1262.972470
  10 3488.882718 1307.452465 941.555640 2305.865117 920.922969 1191.231852
  11 3297.280418 1254.194283 901.001998 2176.167972 881.705361 1130.747687
  12 3133.467224 1208.203766 866.032519 2065.398653 847.877572 1078.870832
  13 2991.393230 1167.942914 835.460937 1969.423499 818.295572 1033.744853
  14 2866.690807 1132.294013 808.425886 1885.260569 792.128508 994.026503
  15 2756.120719 1100.422955 784.285078 1810.699904 768.756737 958.717465
  16 2657.225019 1071.693107 762.548652 1744.065708 747.707592 927.058705
  17 2568.101580 1045.609058 742.835687 1684.061961 728.613463 898.461730
  18 2487.253055 1021.778757 724.844944 1629.669058 711.183592 872.462450
  19 2413.482971 999.887343 708.334653 1580.072741 695.184591 848.689400
  20 2345.822542 979.678634 693.108225 1534.614068 680.426659 826.841310
  21 2283.478061 960.941763 679.003947 1492.753464 666.753643 806.670973
  22 2225.792367 943.501349 665.887401 1454.044408 654.035735 787.973401
  23 2172.216171 927.210164 653.645810 1418.113856 642.164006 770.577006
  24 2122.286386 911.943559 642.183748 1384.647456 631.046279 754.336926
  25 2075.609538 897.595188 631.419845 1353.378233 620.603943 739.129909
  26 2031.848910 884.073685 621.284232 1324.077819 610.769491 724.850342
  27 1990.714461 871.300043 611.716521 1296.549589 601.484571 711.407139
  28 1951.954850 859.205540 602.664214 1270.623225 592.698446 698.721267
  29 1915.351058 847.730073 594.081420 1246.150367 584.366761 686.723778
  30 1880.711250 836.820809 585.927818 1223.001124 576.450542 675.354207
  31 1847.866592 826.431090 578.167815 1201.061218 568.915382 664.559282
  32 1816.667834 816.519526 570.769858 1180.229669 561.730771 654.291856
  33 1786.982493 807.049257 563.705853 1160.416868 554.869548 644.510034
  34 1758.692504 797.987328 556.950699 1141.542991 548.307437 635.176441
  35 1731.692276 789.304170 550.481881 1123.536668 542.022666 626.257618
  36 1705.887046 780.973165 544.279142 1106.333872 535.995641 617.723505
  37 1681.191497 772.970274 538.324194 1089.876976 530.208672 609.547013
  38 1657.528580 765.273723 532.600480 1074.113954 524.645745 601.703654
  39 1634.828520 757.863736 527.092970 1058.997706 519.292314 594.171230
  40 1613.027950 750.722302 521.787978 1044.485471 514.135141 586.929567
  41 1592.069181 743.832976 516.673015 1030.538333 509.162140 579.960278
  42 1571.899564 737.180709 511.736657 1017.120783 504.362256 573.246569
  43 1552.470936 730.751698 506.968427 1004.200350 499.725349 566.773064
  44 1533.739144 724.533252 502.358702 991.747272 495.242106 560.525655
  45 1515.663626 718.513686 497.898618 979.734216 490.903945 554.491370
  46 1498.207042 712.682212 493.579998 968.136029 486.702953 548.658259
  47 1481.334956 707.028856 489.395286 956.929519 482.631814 543.015292
