# ell, 100x100, 100x143, 100x217, 143x143, 143x217, 217x217
   2 410386.549624 56122.821534 29868.084541 88047.361299 32197.806369 39515.116486
   3 284153.105225 43538.242423 23643.414755 65899.652319 25351.451098 30585.425608
   4 223125.952444 37059.422089 20415.563913 54684.922413 21807.379113 25992.428678
   5 186687.810048 33009.272165 18387.638369 47757.224460 19583.386595 23123.030915
   6 162217.862443 30186.957138 16968.892886 42975.771074 18028.903391 21124.547834
   7 144510.211376 28079.515147 15905.909915 39434.519256 16865.138317 19632.927292
   8 131017.953575 26429.049471 15070.898478 36681.121965 15951.606163 18465.208289
   9 120343.097549 25090.768182 14391.947313 34463.047543 15209.294655 17518.701262
  10 111651.770779 23976.610017 13825.238990 32627.441451 14590.079958 16730.966876
  11 104414.266529 23029.664067 13342.411089 31075.932096 14062.823151 16061.661492
  12 98277.071331 22211.354651 12924.212182 29742.090819 13606.394657 15483.444398
  13 92994.694535 21494.509614 12557.064909 28579.286690 13205.896567 14977.060552
  14 88390.996010 20859.374090 12231.086832 27553.725556 12850.487964 14528.513293
  15 84336.090360 20291.200248 11938.892374 26640.253807 12532.068834 14127.355115
  16 80731.950075 19778.727727 11674.836712 25819.720012 12244.449667 13765.610204
  17 77503.099888 19313.191046 11434.521434 25077.255876 11982.808650 13437.070745
  18 74590.412004 18887.651248 11214.461394 24401.121404 11743.325924 13136.823126
  19 71946.855879 18496.533810 11011.854204 23781.908232 11522.930570 12860.920421
  20 69534.517301 18135.301714 10824.417030 23211.977139 11319.121490 12606.150677
  21 67322.463697 17800.219362 10650.268661 22685.052660 11129.838003 12369.869616
  22 65285.186838 17488.178972 10487.842729 22195.925546 10953.364624 12149.877619
  23 63401.447756 17196.570832 10335.822812 21740.230786 10788.259878 11944.327797
  24 61653.407101 16923.184887 10193.093186 21314.279543 10633.302274 11751.656269
  25 60025.961492 16666.135114 10058.700950 20914.930210 10487.448766 11570.528591
  26 58506.230792 16423.800691 9931.826552 20539.488266 10349.802434 11399.798080
  27 57083.157512 16194.779727 9811.760591 20185.627642 10219.587043 11238.473041
  28 55747.190595 15977.852506 9697.885384 19851.328348 10096.126834 11085.690739
  29 54490.033410 15771.952011 9589.660168 19534.826526 9978.830304 10940.696517
  30 53304.441169 15576.140079 9486.609134 19234.574120 9867.177087 10802.826921
  31 52184.056742 15389.587973 9388.311660 18949.206038 9760.707252 10671.495934
  32 51123.276585 15211.560418 9294.394292 18677.513223 9659.012511 10546.183678
  33 50117.140498 15041.402400 9204.524106 18418.420420 9561.728946 10426.427066
  34 49161.240368 14878.528185 9118.403178 18170.967689 9468.530954 10311.812028
  35 48251.644177 14722.412117 9035.763959 17934.294952 9379.126175 10201.967001
  36 47384.832352 14572.580881 8956.365372 17707.629003 9293.251219 10096.557445
  37 46557.644162 14428.606941 8879.989512 17490.272515 9210.668052 9995.281206
  38 45767.232349 14290.102971 8806.438833 17281.594714 9131.160915 9897.864570
  39 45011.024551 14156.717088 8735.533748 17081.023409 9054.533691 9804.058889
  40 44286.690334 14028.128759 8667.110563 16888.038164 8980.607650 9713.637689
  41 43592.112920 13904.045278 8601.019698 16702.164416 8909.219497 9626.394174
  42 42925.364818 13784.198715 8537.124146 16522.968393 8840.219686 9542.139065
  43 42284.686768 13668.343263 8475.298132 16350.052701 8773.470952 9460.698727
  44 41668.469450 13556.252927 8415.425950 16183.052487 8708.847036 9381.913534
  45 41075.237563 13447.719504 8357.400932 16021.632078 8646.231563 9305.636436
  46 40503.635913 13342.550810 8301.124561 15865.482044 8585.517062 9231.731708
  47 39952.417214 13240.569113 8246.505670 15714.316606 8526.604098 9160.073843
  48 39420.431365 13141.609762 8193.459753 15567.871361 8469.400514 9090.546574
  49 38906.615997 13045.519957 8141.908341 15425.901256 8413.820745 9023.042019
  50 38409.988110 12952.157674 8091.778452 15288.178806 8359.785229 8957.459903
  51 37929.636665 12861.390695 8043.002107 15154.492497 8307.219860 8893.706887
  52 37464.715997 12773.095748 7995.515891 15024.645372 8256.055522 8831.695951
  53 37014.439945 12687.157740 7949.260559 14898.453764 8206.227651 8771.345854
  54 36578.076616 12603.469063 7904.180692 14775.746156 8157.675861 8712.580647
  55 36154.943693 12521.928978 7860.224376 14656.362172 8110.343594 8655.329229
  56 35744.404233 12442.443055 7817.342925 14540.151651 8064.177815 8599.524960
  57 35345.862882 12364.922669 7775.490618 14426.973831 8019.128725 8545.105300
  58 34958.762477 12289.284549 7734.624474 14316.696599 7975.149518 8492.011489
  59 34582.580973 12215.450361 7694.704038 14209.195818 7932.196143 8440.188258
  60 34216.828666 12143.346337 7655.691196 14104.354715 7890.227102 8389.583561
  61 33861.045683 12072.902938 7617.549996 14002.063330 7849.203258 8340.148337
  62 33514.799699 12004.054539 7580.246494 13902.218010 7809.087666 8291.836293
  63 33177.683867 11936.739154 7543.748612 13804.720947 7769.845413 8244.603703
  64 32849.314933 11870.898174 7508.026002 13709.479765 7731.443476 8198.409227
  65 32529.331517 11806.476133 7473.049934 13616.407132 7693.850593 8153.213744
  66 32217.392548 11743.420495 7438.793175 13525.420412 7657.037141 8108.980202
  67 31913.175825 11681.681454 7405.229900 13436.441345 7620.975025 8065.673475
  68 31616.376709 11621.211752 7372.335591 13349.395749 7585.637579 8023.260238
  69 31326.706918 11561.966514 7340.086956 13264.213253 7550.999472 7981.708847
  70 31043.893424 11503.903095 7308.461847 13180.827050 7517.036622 7940.989234
  71 30767.677435 11446.980936 7277.439193 13099.173660 7483.726118 7901.072800
  72 30497.813464 11391.161434 7246.998928 13019.192726 7451.046148 7861.932331
  73 30234.068470 11336.407824 7217.121931 12940.826817 7418.975926 7823.541906
  74 29976.221058 11282.685061 7187.789971 12864.021244 7387.495637 7785.876822
  75 29724.060753 11229.959726 7158.985650 12788.723897 7356.586375 7748.913520
  76 29477.387318 11178.199919 7130.692358 12714.885090 7326.230090 7712.629517
  77 29236.010127 11127.375179 7102.894223 12642.457414 7296.409539 7677.003340
  78 28999.747587 11077.456397 7075.576073 12571.395609 7267.108239 7642.014475
  79 28768.426595 11028.415739 7048.723394 12501.656435 7238.310422 7607.643306
  80 28541.882042 10980.226575 7022.322292 12433.198561 7210.001001 7573.871065
  81 28319.956343 10932.863414 6996.359464 12365.982453 7182.165526 7540.679789
  82 28102.499009 10886.301838 6970.822159 12299.970282 7154.790152 7508.052273
  83 27889.366243 10840.518446 6945.698154 12235.125820 7127.861608 7475.972028
  84 27680.420564 10795.490801 6920.975724 12171.414364 7101.367162 7444.423245
  85 27475.530459 10751.197378 6896.643612 12108.802646 7075.294599 7413.390758
  86 27274.570054 10707.617513 6872.691014 12047.258761 7049.632188 7382.860011
  87 27077.418811 10664.731366 6849.107547 11986.752096 7024.368661 7352.817025
  88 26883.961241 10622.519872 6825.883230 11927.253263 6999.493188 7323.248372
  89 26694.086638 10580.964705 6803.008467 11868.734033 6974.995357 7294.141143
  90 26507.688832 10540.048244 6780.474027 11811.167284 6950.865149 7265.482925
  91 26324.665947 10499.753533 6758.271021 11754.526940 6927.092925 7237.261775
  92 26144.920191 10460.064250 6736.390893 11698.787922 6903.669402 7209.466199
  93 25968.357642 10420.964680 6714.825400 11643.926100 6880.585639 7182.085128
  94 25794.888057 10382.439682 6693.566597 11589.918243 6857.833019 7155.107901
  95 25624.424693 10344.474666 6672.606823 11536.741983 6835.403236 7128.524241
  96 25456.884132 10307.055562 6651.938692 11484.375768 6813.288280 7102.324242
  97 25292.186120 10270.168801 6631.555074 11432.798826 6791.480421 7076.498350
  98 25130.253419 10233.801289 6611.449088 11381.991132 6769.972199 7051.037345
  99 24971.011658 10197.940390 6591.614091 11331.933366 6748.756413 7025.932329
 100 24814.389206 10162.573897 6572.043662 11282.606891 6727.826104 7001.174709
 101 24660.317037 10127.690024 6552.731600 11233.993715 6707.174550 6976.756187
 102 24508.728616 10093.277377 6533.671909 11186.076464 6686.795255 6952.668742
 103 24359.559781 10059.324946 6514.858790 11138.838356 6666.681934 6928.904623
 104 24212.748641 10025.822082 6496.286636 11092.263177 6646.828512 6905.456335
 105 24068.235470 9992.758486 6477.950019 11046.335250 6627.229109 6882.316627
 106 23925.962612 9960.124191 6459.843686 11001.039421 6607.878034 6859.478485
 107 23785.874393 9927.909549 6441.962549 10956.361029 6588.769776 6836.935119
 108 23647.917031 9896.105222 6424.301683 10912.285889 6569.899001 6814.679954
 109 23512.038560 9864.702162 6406.856314 10868.800272 6551.260537 6792.706625
 110 23378.188744 9833.691605 6389.621814 10825.890888 6532.849376 6771.008963
 111 23246.319015 9803.065057 6372.593700 10783.544863 6514.660661 6749.580991
 112 23116.382394 9772.814284 6355.767623 10741.749728 6496.689682 6728.416915
 113 22988.333429 9742.931303 6339.139362 10700.493399 6478.931874 6707.511118
 114 22862.128132 9713.408369 6322.704825 10659.764162 6461.382804 6686.858149
 115 22737.723919 9684.237968 6306.460040 10619.550661 6444.038172 6666.452722
 116 22615.079555 9655.412809 6290.401148 10579.841882 6426.893804 6646.289708
 117 22494.155095 9626.925814 6274.524405 10540.627140 6409.945647 6626.364125
 118 22374.911839 9598.770109 6258.826174 10501.896067 6393.189764 6606.671140
 119 22257.312280 9570.939020 6243.302919 10463.638598 6376.622331 6587.206055
 120 22141.320056 9543.426061 6227.951206 10425.844964 6360.239631 6567.964309
 121 22026.899910 9516.224931 6212.767696 10388.505676 6344.038053 6548.941469
 122 21914.017642 9489.329504 6197.749144 10351.611517 6328.014085 6530.133227
 123 21802.640073 9462.733827 6182.892393 10315.153534 6312.164313 6511.535394
 124 21692.735007 9436.432109 6168.194370 10279.123023 6296.485414 6493.143897
 125 21584.271189 9410.418717 6153.652090 10243.511525 6280.974158 6474.954776
 126 21477.218275 9384.688172 6139.262644 10208.310815 6265.627400 6456.964176
 127 21371.546799 9359.235144 6125.023201 10173.512895 6250.442080 6439.168347
 128 21267.228136 9334.054441 6110.931007 10139.109985 6235.415218 6421.563641
 129 21164.234474 9309.141011 6096.983378 10105.094514 6220.543913 6404.146504
 130 21062.538787 9284.489937 6083.177699 10071.459116 6205.825340 6386.913477
 131 20962.114805 9260.096426 6069.511426 10038.196620 6191.256745 6369.861191
 132 20862.936985 9235.955811 6055.982075 10005.300045 6176.835447 6352.986364
 133 20764.980490 9212.063544 6042.587230 9972.762595 6162.558831 6336.285799
 134 20668.221160 9188.415195 6029.324532 9940.577647 6148.424351 6319.756379
 135 20572.635492 9165.006444 6016.191683 9908.738752 6134.429522 6303.395068
 136 20478.200617 9141.833079 6003.186442 9877.239627 6120.571922 6287.198906
 137 20384.894273 9118.890995 5990.306621 9846.074146 6106.849189 6271.165004
 138 20292.694794 9096.176186 5977.550089 9815.236340 6093.259018 6255.290549
 139 20201.581081 9073.684745 5964.914764 9784.720389 6079.799161 6239.572793
 140 20111.532589 9051.412863 5952.398614 9754.520619 6066.467423 6224.009057
 141 20022.529305 9029.356819 5939.999658 9724.631494 6053.261664 6208.596727
 142 19934.551733 9007.512983 5927.715960 9695.047615 6040.179793 6193.333252
 143 19847.580876 8985.877813 5915.545629 9665.763716 6027.219768 6178.216140
 144 19761.598218 8964.447848 5903.486821 9636.774657 6014.379597 6163.242961
 145 19676.585714 8943.219711 5891.537731 9608.075421 6001.657332 6148.411339
 146 19592.525767 8922.190102 5879.696600 9579.661111 5989.051073 6133.718956
 147 19509.401221 8901.355798 5867.961706 9551.526948 5976.558960 6119.163548
 148 19427.195344 8880.713650 5856.331367 9523.668262 5964.179178 6104.742900
 149 19345.891814 8860.260582 5844.803940 9496.080495 5951.909953 6090.454851
 150 19265.474707 8839.993587 5833.377817 9468.759193 5939.749550 6076.297288
 151 19185.928484 8819.909726 5822.051427 9441.700007 5927.696273 6062.268145
 152 19107.237983 8800.006125 5810.823235 9414.898684 5915.748463 6048.365404
 153 19029.388402 8780.279976 5799.691737 9388.351072 5903.904501 6034.587089
 154 18952.365290 8760.728530 5788.655464 9362.053109 5892.162798 6020.931272
 155 18876.154539 8741.349101 5777.712978 9336.000827 5880.521805 6007.396065
